ome;frfe
35,2;0,218627
35,3;0,219328
35,4;0,219935
35,5;0,2224
35,6;0,224477
35,7;0,226587
35,8;0,228399
35,9;0,229215
36;0,230556
36,1;0,232953
36,2;0,233671
36,3;0,234356
36,4;0,235546
36,5;0,2363
36,6;0,237704
36,7;0,239869
36,8;0,241197
36,9;0,242386
37;0,243711
37,1;0,245123
37,2;0,246439
37,3;0,247689
37,4;0,249883
37,5;0,251992
37,6;0,254097
37,7;0,256079
37,8;0,257758
37,9;0,259243
38;0,260803
38,1;0,262597
38,2;0,264741
38,3;0,266559
38,4;0,268596
38,5;0,270739
38,6;0,272985
38,7;0,275629
38,8;0,277776
38,9;0,280241
39;0,283449
39,1;0,286433
39,2;0,289334
39,3;0,292715
39,4;0,296577
39,5;0,299167
39,6;0,301913
39,7;0,305193
39,8;0,308179
39,9;0,311363
40;0,314288
40,1;0,316939
40,2;0,31954
40,3;0,322429
40,4;0,325816
40,5;0,329606
40,6;0,333089
40,7;0,33665
40,8;0,340467
40,9;0,34419
41;0,348079
41,1;0,352293
41,2;0,356411
41,3;0,360837
41,4;0,365185
41,5;0,369413
41,6;0,373591
41,7;0,377939
41,8;0,382647
41,9;0,386875
42;0,391175
42,1;0,396447
42,2;0,401699
42,3;0,405577
42,4;0,410424
42,5;0,415957
42,6;0,421876
42,7;0,427654
42,8;0,432895
42,9;0,438096
43;0,444724
43,1;0,451561
43,2;0,458134
43,3;0,465319
43,4;0,472418
43,5;0,478132
43,6;0,484873
43,7;0,492422
43,8;0,499042
43,9;0,506742
44;0,514299
44,1;0,521301
44,2;0,52979
44,3;0,537755
44,4;0,54507
44,5;0,553763
44,6;0,562987
44,7;0,572538
44,8;0,581388
44,9;0,591492
45;0,602541
45,1;0,612207
45,2;0,623436
45,3;0,636065
45,4;0,648202
45,5;0,660525
45,6;0,673111
45,7;0,685549
45,8;0,699139
45,9;0,712352
46;0,724981
46,1;0,739584
46,2;0,755023
46,3;0,770126
46,4;0,786409
46,5;0,803147
46,6;0,820684
46,7;0,839812
46,8;0,858753
46,9;0,878762
47;0,90157
47,1;0,924001
47,2;0,949614
47,3;0,978943
47,4;1,00623
47,5;1,03279
47,6;1,06171
47,7;1,093
47,8;1,12714
47,9;1,16432
48;1,20231
48,1;1,24207
48,2;1,28543
48,3;1,32592
48,4;1,37206
48,5;1,42127
48,6;1,46924
48,7;1,52521
48,8;1,58245
48,9;1,64365
49;1,71312
49,1;1,78638
49,2;1,86959
49,3;1,95845
49,4;2,05279
49,5;2,16172
49,6;2,28133
49,7;2,41127
49,8;2,56033
49,9;2,72506
50;2,91459
50,1;3,13173
50,2;3,38044
50,3;3,67092
50,4;4,01384
50,5;4,41554
50,6;4,89862
50,7;5,4968
50,8;6,24263
50,9;7,20684
51;8,50201
51,1;10,3041
51,2;12,9762
51,3;17,1262
51,4;23,412
51,5;29,8256
51,6;28,2371
51,7;20,5531
51,8;14,7241
51,9;11,2395
52;9,05215
52,1;7,58192
52,2;6,52324
52,3;5,73064
52,4;5,11484
52,5;4,6187
52,6;4,21295
52,7;3,87396
52,8;3,5856
52,9;3,3406
53;3,12773
53,1;2,94217
53,2;2,77869
53,3;2,63221
53,4;2,50183
53,5;2,38474
53,6;2,27767
53,7;2,18102
53,8;2,09349
53,9;2,01379
54;1,94066
54,1;1,8739
54,2;1,81158
54,3;1,75425
54,4;1,70161
54,5;1,65096
54,6;1,6063
54,7;1,56347
54,8;1,52257
54,9;1,48627
55;1,45034
55,1;1,41569
55,2;1,38363
55,3;1,35195
55,4;1,32247
55,5;1,29386
55,6;1,26509
55,7;1,23919
55,8;1,21353
55,9;1,18716
56;1,16414
56,1;1,14138
56,2;1,11913
56,3;1,09928
56,4;1,07943
56,5;1,06108
56,6;1,0453
56,7;1,028
56,8;1,01178
56,9;0,997815
57;0,983184
57,1;0,970028
57,2;0,95783
57,3;0,944835
57,4;0,932797
57,5;0,921243
57,6;0,908236
57,7;0,89691
57,8;0,886028
57,9;0,874528
58;0,864852
58,1;0,854912
58,2;0,844372
58,3;0,835479
58,4;0,826222
58,5;0,818127
58,6;0,810033
58,7;0,801507
58,8;0,795105
58,9;0,788197
59;0,781262
59,1;0,775383
59,2;0,769797
59,3;0,764092
59,4;0,758945
59,5;0,752408
59,6;0,746406
59,7;0,740512
59,8;0,732531
59,9;0,725948
60;0,719659
60,1;0,712923
60,2;0,706859
60,3;0,700999
60,4;0,694495
60,5;0,688401
60,6;0,68271
60,7;0,676988
60,8;0,672595
60,9;0,667893
61;0,663982
